zone;type;variable;value
benelux;pump_storage-closed_loop;cumulated_upper_or_head_reservoir_capacity_gwh;5.3
benelux;pump_storage-closed_loop;total_pumping_capacity_mw;-1150.0
benelux;pump_storage-closed_loop;total_turbining_capacity_mw;1308.0
benelux;pump_storage-open_loop;cumulated_upper_or_head_reservoir_capacity_gwh;0.0
benelux;pump_storage-open_loop;total_pumping_capacity_mw;0.0
benelux;pump_storage-open_loop;total_turbining_capacity_mw;0.0
benelux;reservoir;reservoir_capacity_gwh;0.0
benelux;reservoir;total_turbining_capacity_mw;0.0
benelux;run-of-river_and_pondage;reservoir_capacity_linked_to_run_of_river_and_pondage_units_gwh;0.0
benelux;run-of-river_and_pondage;total_turbining_capacity_mw;151.94
france;pump_storage-closed_loop;cumulated_upper_or_head_reservoir_capacity_gwh;10.0
france;pump_storage-closed_loop;total_pumping_capacity_mw;-1950.0
france;pump_storage-closed_loop;total_turbining_capacity_mw;1950.0
france;pump_storage-open_loop;cumulated_upper_or_head_reservoir_capacity_gwh;90.0
france;pump_storage-open_loop;total_pumping_capacity_mw;-1850.0
france;pump_storage-open_loop;total_turbining_capacity_mw;1850.0
france;reservoir;reservoir_capacity_gwh;10000.0
france;reservoir;total_turbining_capacity_mw;8477.0
france;run-of-river_and_pondage;reservoir_capacity_linked_to_run_of_river_and_pondage_units_gwh;na
france;run-of-river_and_pondage;total_turbining_capacity_mw;20500.0
germany;pump_storage-closed_loop;cumulated_upper_or_head_reservoir_capacity_gwh;355.0
germany;pump_storage-closed_loop;total_pumping_capacity_mw;-6068.0
germany;pump_storage-closed_loop;total_turbining_capacity_mw;6056.0
germany;pump_storage-open_loop;cumulated_upper_or_head_reservoir_capacity_gwh;417.0
germany;pump_storage-open_loop;total_pumping_capacity_mw;-1361.0
germany;pump_storage-open_loop;total_turbining_capacity_mw;1644.0
germany;reservoir;reservoir_capacity_gwh;258.0
germany;reservoir;total_turbining_capacity_mw;1297.0
germany;run-of-river_and_pondage;reservoir_capacity_linked_to_run_of_river_and_pondage_units_gwh;0.0
germany;run-of-river_and_pondage;total_turbining_capacity_mw;4036.0
iberian-peninsula;pump_storage-closed_loop;cumulated_upper_or_head_reservoir_capacity_gwh;95.4
iberian-peninsula;pump_storage-closed_loop;total_pumping_capacity_mw;-3142.0
iberian-peninsula;pump_storage-closed_loop;total_turbining_capacity_mw;3330.0
iberian-peninsula;pump_storage-open_loop;cumulated_upper_or_head_reservoir_capacity_gwh;8150.6
iberian-peninsula;pump_storage-open_loop;total_pumping_capacity_mw;274.0
iberian-peninsula;pump_storage-open_loop;total_turbining_capacity_mw;5635.0
iberian-peninsula;reservoir;reservoir_capacity_gwh;13027.0
iberian-peninsula;reservoir;total_turbining_capacity_mw;14461.5
iberian-peninsula;run-of-river_and_pondage;reservoir_capacity_linked_to_run_of_river_and_pondage_units_gwh;6.4
iberian-peninsula;run-of-river_and_pondage;total_turbining_capacity_mw;4071.5
italy;pump_storage-closed_loop;cumulated_upper_or_head_reservoir_capacity_gwh;22.4
italy;pump_storage-closed_loop;total_pumping_capacity_mw;-4074.0
italy;pump_storage-closed_loop;total_turbining_capacity_mw;4010.0
italy;pump_storage-open_loop;cumulated_upper_or_head_reservoir_capacity_gwh;381.88
italy;pump_storage-open_loop;total_pumping_capacity_mw;-2339.0
italy;pump_storage-open_loop;total_turbining_capacity_mw;3574.0
italy;reservoir;reservoir_capacity_gwh;5649.1
italy;reservoir;total_turbining_capacity_mw;9963.31
italy;run-of-river_and_pondage;reservoir_capacity_linked_to_run_of_river_and_pondage_units_gwh;0.0
italy;run-of-river_and_pondage;total_turbining_capacity_mw;5428.99
poland;pump_storage-closed_loop;cumulated_upper_or_head_reservoir_capacity_gwh;6.34
poland;pump_storage-closed_loop;total_pumping_capacity_mw;-1486.0
poland;pump_storage-closed_loop;total_turbining_capacity_mw;1323.1
poland;pump_storage-open_loop;cumulated_upper_or_head_reservoir_capacity_gwh;1.5
poland;pump_storage-open_loop;total_pumping_capacity_mw;-172.0
poland;pump_storage-open_loop;total_turbining_capacity_mw;178.8
poland;reservoir;reservoir_capacity_gwh;0.82
poland;reservoir;total_turbining_capacity_mw;183.8
poland;run-of-river_and_pondage;reservoir_capacity_linked_to_run_of_river_and_pondage_units_gwh;0.0
poland;run-of-river_and_pondage;total_turbining_capacity_mw;506.5
scandinavia;pump_storage-closed_loop;cumulated_upper_or_head_reservoir_capacity_gwh;0.0
scandinavia;pump_storage-closed_loop;total_pumping_capacity_mw;0.0
scandinavia;pump_storage-closed_loop;total_turbining_capacity_mw;0.0
scandinavia;pump_storage-open_loop;cumulated_upper_or_head_reservoir_capacity_gwh;86972.99
scandinavia;pump_storage-open_loop;total_pumping_capacity_mw;-1115.0
scandinavia;pump_storage-open_loop;total_turbining_capacity_mw;33776.9
scandinavia;reservoir;reservoir_capacity_gwh;38776.667
scandinavia;reservoir;total_turbining_capacity_mw;19138.0
scandinavia;run-of-river_and_pondage;reservoir_capacity_linked_to_run_of_river_and_pondage_units_gwh;0.0
scandinavia;run-of-river_and_pondage;total_turbining_capacity_mw;0.0
