zone;day;week;climatic_year;ror_hydro_gen
benelux;1;1;1982;2.472
benelux;1;1;1983;2.049
benelux;1;1;1984;1.429
benelux;1;1;1985;1.736
benelux;1;1;1986;1.199
benelux;1;1;1987;2.32
benelux;1;1;1988;1.371
benelux;1;1;1989;1.658
benelux;1;1;1990;1.822
benelux;1;1;1991;2.107
benelux;1;1;1992;1.992
benelux;1;1;1993;1.516
benelux;1;1;1994;2.833
benelux;1;1;1995;2.252
benelux;1;1;1996;1.231
benelux;1;1;1997;1.232
benelux;1;1;1998;1.907
benelux;1;1;1999;2.085
benelux;1;1;2000;2.421
benelux;1;1;2001;1.89
benelux;1;1;2002;2.113
benelux;1;1;2003;2.238
benelux;1;1;2004;1.63
benelux;1;1;2005;1.667
benelux;1;1;2006;1.331
benelux;1;1;2007;1.966
benelux;1;1;2008;1.449
benelux;1;1;2009;1.243
benelux;1;1;2010;2.345
benelux;1;1;2011;1.413
benelux;1;1;2012;2.132
benelux;1;1;2013;2.394
benelux;1;1;2014;2.239
benelux;1;1;2015;1.727
benelux;1;1;2016;1.297
benelux;1;1;2017;0.763
benelux;2;2;1982;2.609
benelux;2;2;1983;2.013
benelux;2;2;1984;1.492
benelux;2;2;1985;1.849
benelux;2;2;1986;1.185
benelux;2;2;1987;2.364
benelux;2;2;1988;1.665
benelux;2;2;1989;1.599
benelux;2;2;1990;1.736
benelux;2;2;1991;2.122
benelux;2;2;1992;1.957
benelux;2;2;1993;1.475
benelux;2;2;1994;2.777
benelux;2;2;1995;2.238
benelux;2;2;1996;1.237
benelux;2;2;1997;1.202
benelux;2;2;1998;1.907
benelux;2;2;1999;2.044
benelux;2;2;2000;2.364
benelux;2;2;2001;1.962
benelux;2;2;2002;2.059
benelux;2;2;2003;2.416
benelux;2;2;2004;1.549
benelux;2;2;2005;1.7
benelux;2;2;2006;1.483
benelux;2;2;2007;2.042
benelux;2;2;2008;1.414
benelux;2;2;2009;1.208
benelux;2;2;2010;2.295
benelux;2;2;2011;1.478
benelux;2;2;2012;2.205
benelux;2;2;2013;2.375
benelux;2;2;2014;2.222
benelux;2;2;2015;1.677
benelux;2;2;2016;1.276
benelux;2;2;2017;0.758
benelux;3;3;1982;2.619
benelux;3;3;1983;2.004
benelux;3;3;1984;1.812
benelux;3;3;1985;1.835
