zone;week;climatic_year;cum_inflow_into_reservoirs;cum_nat_inflow_into_pump-storage_reservoirs
france;1;1982;671.449;0.000
france;1;1983;449.378;0.000
france;1;1984;339.965;0.000
france;1;1985;417.120;0.000
france;1;1986;323.206;0.000
france;1;1987;402.517;0.000
france;1;1988;244.477;0.000
france;1;1989;301.195;0.000
france;1;1990;196.183;0.000
france;1;1991;439.662;0.000
france;1;1992;296.881;0.000
france;1;1993;393.422;0.000
france;1;1994;715.539;0.000
france;1;1995;383.818;0.000
france;1;1996;366.377;0.000
france;1;1997;568.386;0.000
france;1;1998;313.703;0.000
france;1;1999;304.040;0.000
france;1;2000;547.542;0.000
france;1;2001;461.369;0.000
france;1;2002;401.686;0.000
france;1;2003;477.120;0.000
france;1;2004;349.000;0.000
france;1;2005;443.046;0.000
france;1;2006;305.466;0.000
france;1;2007;166.640;0.000
france;1;2008;339.925;0.000
france;1;2009;388.470;0.000
france;1;2010;339.249;0.000
france;1;2011;331.081;0.000
france;1;2012;347.235;0.000
france;1;2013;386.206;0.000
france;1;2014;360.116;0.000
france;1;2015;316.309;0.000
france;1;2016;238.662;0.000
france;1;2017;382.014;0.000
france;2;1982;718.056;0.000
france;2;1983;477.960;0.000
france;2;1984;372.297;0.000
france;2;1985;372.512;0.000
france;2;1986;374.834;0.000
france;2;1987;509.246;0.000
france;2;1988;251.774;0.000
france;2;1989;297.867;0.000
france;2;1990;212.531;0.000
france;2;1991;361.044;0.000
france;2;1992;258.573;0.000
france;2;1993;321.650;0.000
france;2;1994;927.238;0.000
france;2;1995;416.272;0.000
france;2;1996;403.870;0.000
france;2;1997;492.545;0.000
france;2;1998;351.005;0.000
france;2;1999;374.574;0.000
france;2;2000;459.152;0.000
france;2;2001;479.995;0.000
france;2;2002;344.833;0.000
france;2;2003;463.787;0.000
france;2;2004;300.674;0.000
france;2;2005;383.926;0.000
france;2;2006;283.403;0.000
france;2;2007;196.914;0.000
france;2;2008;309.644;0.000
france;2;2009;438.387;0.000
france;2;2010;450.830;0.000
france;2;2011;292.935;0.000
france;2;2012;435.128;0.000
france;2;2013;433.988;0.000
france;2;2014;394.960;0.000
france;2;2015;285.528;0.000
france;2;2016;357.057;0.000
france;2;2017;385.321;0.000
france;3;1982;436.741;0.000
france;3;1983;434.556;0.000
france;3;1984;432.331;0.000
france;3;1985;364.519;0.000
france;3;1986;364.576;0.000
france;3;1987;501.634;0.000
france;3;1988;317.457;0.000
france;3;1989;292.512;0.000
france;3;1990;226.631;0.000
france;3;1991;341.585;0.000
france;3;1992;272.954;0.000
france;3;1993;337.560;0.000
france;3;1994;716.027;0.000
france;3;1995;387.063;0.000
france;3;1996;395.988;0.000
france;3;1997;436.002;0.000
france;3;1998;332.140;0.000
france;3;1999;349.337;0.000
france;3;2000;500.534;0.000
france;3;2001;426.840;0.000
france;3;2002;315.261;0.000
france;3;2003;435.935;0.000
france;3;2004;544.934;0.000
france;3;2005;347.332;0.000
france;3;2006;249.882;0.000
france;3;2007;201.218;0.000
france;3;2008;397.700;0.000
france;3;2009;364.901;0.000
france;3;2010;300.058;0.000
france;3;2011;395.604;0.000
france;3;2012;396.168;0.000
france;3;2013;472.895;0.000
france;3;2014;411.021;0.000
france;3;2015;377.504;0.000
france;3;2016;445.861;0.000
france;3;2017;463.913;0.000
france;4;1982;458.960;0.000
france;4;1983;447.484;0.000
france;4;1984;483.336;0.000
france;4;1985;257.650;0.000
france;4;1986;404.156;0.000
france;4;1987;403.315;0.000
france;4;1988;364.550;0.000
france;4;1989;288.272;0.000
france;4;1990;218.843;0.000
france;4;1991;331.246;0.000
france;4;1992;274.570;0.000
france;4;1993;311.108;0.000
france;4;1994;515.691;0.000
france;4;1995;518.013;0.000
france;4;1996;325.127;0.000
france;4;1997;536.103;0.000
france;4;1998;435.459;0.000
france;4;1999;358.976;0.000
france;4;2000;469.902;0.000
france;4;2001;343.598;0.000
france;4;2002;287.258;0.000
france;4;2003;348.560;0.000
france;4;2004;967.667;0.000
france;4;2005;419.576;0.000
france;4;2006;287.952;0.000
france;4;2007;245.326;0.000
france;4;2008;382.628;0.000
france;4;2009;410.298;0.000
france;4;2010;386.899;0.000
france;4;2011;421.672;0.000
france;4;2012;355.185;0.000
france;4;2013;437.447;0.000
france;4;2014;451.498;0.000
france;4;2015;489.703;0.000
france;4;2016;345.826;0.000
france;4;2017;524.087;0.000
france;5;1982;566.374;0.000
france;5;1983;330.181;0.000
france;5;1984;523.463;0.000
france;5;1985;309.998;0.000
france;5;1986;457.316;0.000
france;5;1987;285.520;0.000
france;5;1988;479.691;0.000
france;5;1989;280.389;0.000
france;5;1990;244.874;0.000
france;5;1991;313.609;0.000
france;5;1992;260.821;0.000
france;5;1993;303.356;0.000
france;5;1994;557.284;0.000
france;5;1995;548.926;0.000
france;5;1996;389.301;0.000
france;5;1997;469.572;0.000
france;5;1998;423.534;0.000
france;5;1999;403.181;0.000
france;5;2000;336.709;0.000
france;5;2001;418.143;0.000
france;5;2002;312.180;0.000
france;5;2003;437.109;0.000
france;5;2004;710.539;0.000
france;5;2005;457.282;0.000
france;5;2006;229.394;0.000
france;5;2007;272.636;0.000
france;5;2008;362.419;0.000
france;5;2009;408.960;0.000
france;5;2010;451.520;0.000
france;5;2011;417.378;0.000
france;5;2012;471.582;0.000
france;5;2013;424.563;0.000
france;5;2014;486.048;0.000
france;5;2015;522.662;0.000
france;5;2016;327.387;0.000
france;5;2017;281.747;0.000
france;6;1982;499.830;0.000
france;6;1983;503.757;0.000
france;6;1984;513.929;0.000
france;6;1985;333.821;0.000
france;6;1986;341.760;0.000
france;6;1987;264.021;0.000
france;6;1988;644.968;0.000
france;6;1989;271.067;0.000
france;6;1990;210.501;0.000
france;6;1991;311.907;0.000
france;6;1992;227.934;0.000
france;6;1993;292.453;0.000
france;6;1994;700.804;0.000
france;6;1995;435.762;0.000
france;6;1996;368.706;0.000
france;6;1997;413.437;0.000
france;6;1998;389.852;0.000
france;6;1999;390.693;0.000
france;6;2000;301.641;0.000
france;6;2001;389.539;0.000
france;6;2002;258.544;0.000
france;6;2003;579.586;0.000
france;6;2004;516.823;0.000
france;6;2005;435.561;0.000
france;6;2006;222.086;0.000
france;6;2007;279.695;0.000
france;6;2008;348.521;0.000
france;6;2009;490.109;0.000
france;6;2010;425.608;0.000
france;6;2011;338.000;0.000
france;6;2012;425.184;0.000
france;6;2013;500.856;0.000
france;6;2014;494.586;0.000
france;6;2015;524.649;0.000
france;6;2016;407.976;0.000
france;6;2017;292.179;0.000
france;7;1982;457.665;0.000
france;7;1983;502.614;0.000
france;7;1984;512.394;0.000
france;7;1985;324.382;0.000
france;7;1986;330.686;0.000
france;7;1987;323.537;0.000
france;7;1988;737.392;0.000
france;7;1989;261.270;0.000
france;7;1990;406.717;0.000
france;7;1991;262.171;0.000
france;7;1992;199.090;0.000
france;7;1993;271.248;0.000
france;7;1994;706.303;0.000
france;7;1995;396.567;0.000
france;7;1996;414.042;0.000
france;7;1997;246.939;0.000
france;7;1998;314.580;0.000
france;7;1999;428.193;0.000
france;7;2000;352.151;0.000
france;7;2001;399.552;0.000
france;7;2002;386.701;0.000
france;7;2003;553.862;0.000
france;7;2004;494.265;0.000
france;7;2005;367.234;0.000
france;7;2006;227.544;0.000
france;7;2007;272.934;0.000
france;7;2008;358.804;0.000
france;7;2009;598.950;0.000
france;7;2010;427.594;0.000
france;7;2011;301.123;0.000
france;7;2012;347.876;0.000
france;7;2013;521.509;0.000
france;7;2014;573.925;0.000
france;7;2015;429.483;0.000
france;7;2016;507.684;0.000
france;7;2017;257.902;0.000
france;8;1982;485.126;0.000
france;8;1983;432.709;0.000
france;8;1984;439.070;0.000
france;8;1985;367.487;0.000
france;8;1986;252.126;0.000
france;8;1987;417.836;0.000
france;8;1988;560.388;0.000
france;8;1989;234.004;0.000
france;8;1990;335.661;0.000
france;8;1991;253.461;0.000
france;8;1992;214.973;0.000
france;8;1993;271.502;0.000
france;8;1994;612.800;0.000
france;8;1995;435.651;0.000
france;8;1996;467.940;0.000
france;8;1997;290.654;0.000
france;8;1998;261.713;0.000
france;8;1999;489.650;0.000
france;8;2000;421.639;0.000
france;8;2001;410.939;0.000
france;8;2002;357.174;0.000
france;8;2003;478.202;0.000
france;8;2004;404.870;0.000
france;8;2005;473.432;0.000
france;8;2006;326.856;0.000
france;8;2007;279.929;0.000
france;8;2008;303.671;0.000
france;8;2009;534.088;0.000
france;8;2010;336.665;0.000
france;8;2011;262.031;0.000
france;8;2012;319.670;0.000
france;8;2013;520.672;0.000
france;8;2014;456.035;0.000
france;8;2015;420.654;0.000
france;8;2016;440.151;0.000
france;8;2017;246.696;0.000
france;9;1982;443.902;0.000
france;9;1983;477.858;0.000
france;9;1984;450.207;0.000
france;9;1985;368.799;0.000
france;9;1986;190.517;0.000
france;9;1987;242.788;0.000
france;9;1988;583.676;0.000
france;9;1989;230.155;0.000
france;9;1990;331.393;0.000
france;9;1991;211.186;0.000
france;9;1992;199.480;0.000
france;9;1993;337.691;0.000
france;9;1994;453.986;0.000
france;9;1995;564.463;0.000
france;9;1996;344.818;0.000
france;9;1997;304.129;0.000
france;9;1998;271.398;0.000
france;9;1999;444.090;0.000
france;9;2000;382.299;0.000
france;9;2001;385.367;0.000
france;9;2002;335.104;0.000
france;9;2003;315.295;0.000
france;9;2004;470.116;0.000
france;9;2005;456.707;0.000
france;9;2006;363.252;0.000
france;9;2007;322.256;0.000
france;9;2008;235.552;0.000
france;9;2009;372.865;0.000
france;9;2010;351.478;0.000
france;9;2011;274.617;0.000
france;9;2012;253.637;0.000
france;9;2013;494.080;0.000
france;9;2014;476.289;0.000
france;9;2015;417.656;0.000
france;9;2016;423.013;0.000
france;9;2017;238.753;0.000
france;10;1982;405.066;0.000
france;10;1983;464.561;0.000
france;10;1984;403.644;0.000
france;10;1985;401.595;0.000
france;10;1986;300.986;0.000
france;10;1987;278.632;0.000
france;10;1988;568.346;0.000
france;10;1989;178.121;0.000
france;10;1990;305.043;0.000
france;10;1991;199.517;0.000
france;10;1992;185.695;0.000
france;10;1993;314.086;0.000
france;10;1994;462.405;0.000
france;10;1995;613.121;0.000
france;10;1996;388.895;0.000
france;10;1997;324.709;0.000
france;10;1998;217.684;0.000
france;10;1999;445.727;0.000
france;10;2000;439.940;0.000
france;10;2001;410.615;0.000
france;10;2002;355.928;0.000
france;10;2003;338.629;0.000
france;10;2004;418.252;0.000
france;10;2005;430.704;0.000
france;10;2006;407.048;0.000
france;10;2007;357.191;0.000
france;10;2008;258.692;0.000
france;10;2009;374.180;0.000
france;10;2010;400.361;0.000
france;10;2011;295.751;0.000
france;10;2012;211.946;0.000
france;10;2013;326.948;0.000
france;10;2014;511.507;0.000
france;10;2015;391.696;0.000
france;10;2016;436.533;0.000
france;10;2017;285.785;0.000
france;11;1982;345.305;0.000
france;11;1983;339.207;0.000
france;11;1984;368.725;0.000
france;11;1985;442.711;0.000
france;11;1986;410.397;0.000
france;11;1987;252.914;0.000
france;11;1988;530.785;0.000
france;11;1989;175.865;0.000
france;11;1990;212.602;0.000
france;11;1991;203.220;0.000
france;11;1992;181.682;0.000
france;11;1993;245.408;0.000
france;11;1994;460.994;0.000
france;11;1995;517.773;0.000
france;11;1996;394.706;0.000
france;11;1997;288.002;0.000
france;11;1998;236.058;0.000
france;11;1999;454.643;0.000
france;11;2000;439.105;0.000
france;11;2001;523.096;0.000
france;11;2002;314.094;0.000
france;11;2003;347.642;0.000
france;11;2004;352.255;0.000
france;11;2005;341.269;0.000
france;11;2006;437.483;0.000
france;11;2007;350.573;0.000
france;11;2008;259.505;0.000
france;11;2009;263.620;0.000
france;11;2010;397.744;0.000
france;11;2011;224.090;0.000
france;11;2012;210.279;0.000
france;11;2013;406.147;0.000
france;11;2014;491.324;0.000
france;11;2015;349.101;0.000
france;11;2016;395.895;0.000
france;11;2017;286.708;0.000
france;12;1982;374.726;0.000
france;12;1983;343.933;0.000
france;12;1984;254.174;0.000
france;12;1985;426.426;0.000
france;12;1986;264.431;0.000
france;12;1987;276.752;0.000
france;12;1988;571.483;0.000
france;12;1989;203.570;0.000
france;12;1990;172.282;0.000
france;12;1991;201.288;0.000
france;12;1992;194.088;0.000
france;12;1993;165.049;0.000
france;12;1994;392.124;0.000
france;12;1995;508.670;0.000
france;12;1996;337.448;0.000
france;12;1997;247.084;0.000
france;12;1998;263.649;0.000
france;12;1999;405.749;0.000
france;12;2000;395.849;0.000
france;12;2001;666.387;0.000
france;12;2002;325.001;0.000
france;12;2003;338.966;0.000
france;12;2004;360.939;0.000
france;12;2005;282.169;0.000
france;12;2006;331.914;0.000
france;12;2007;403.965;0.000
france;12;2008;320.385;0.000
france;12;2009;211.193;0.000
france;12;2010;271.272;0.000
france;12;2011;204.914;0.000
france;12;2012;150.838;0.000
france;12;2013;414.314;0.000
france;12;2014;435.997;0.000
france;12;2015;294.780;0.000
france;12;2016;379.863;0.000
france;12;2017;255.825;0.000
france;13;1982;348.247;0.000
france;13;1983;437.446;0.000
france;13;1984;185.762;0.000
france;13;1985;326.530;0.000
france;13;1986;333.866;0.000
france;13;1987;245.895;0.000
france;13;1988;563.707;0.000
france;13;1989;166.252;0.000
france;13;1990;169.650;0.000
france;13;1991;265.693;0.000
france;13;1992;262.622;0.000
france;13;1993;172.721;0.000
france;13;1994;363.985;0.000
france;13;1995;490.201;0.000
france;13;1996;299.647;0.000
france;13;1997;234.270;0.000
france;13;1998;261.584;0.000
france;13;1999;373.622;0.000
france;13;2000;399.765;0.000
france;13;2001;610.387;0.000
france;13;2002;298.094;0.000
france;13;2003;311.658;0.000
france;13;2004;342.258;0.000
france;13;2005;372.256;0.000
france;13;2006;393.069;0.000
france;13;2007;361.317;0.000
france;13;2008;401.893;0.000
france;13;2009;211.331;0.000
france;13;2010;338.549;0.000
france;13;2011;179.525;0.000
france;13;2012;157.248;0.000
france;13;2013;385.768;0.000
france;13;2014;411.485;0.000
france;13;2015;278.005;0.000
france;13;2016;325.997;0.000
france;13;2017;257.849;0.000
france;14;1982;353.811;0.000
france;14;1983;453.854;0.000
france;14;1984;241.986;0.000
france;14;1985;389.935;0.000
france;14;1986;415.525;0.000
france;14;1987;343.920;0.000
france;14;1988;660.323;0.000
france;14;1989;228.384;0.000
france;14;1990;207.989;0.000
france;14;1991;232.972;0.000
france;14;1992;234.809;0.000
france;14;1993;187.937;0.000
france;14;1994;332.894;0.000
france;14;1995;493.372;0.000
france;14;1996;328.982;0.000
france;14;1997;222.119;0.000
france;14;1998;225.865;0.000
france;14;1999;385.953;0.000
france;14;2000;417.369;0.000
france;14;2001;514.932;0.000
france;14;2002;256.184;0.000
france;14;2003;280.602;0.000
france;14;2004;377.968;0.000
france;14;2005;322.077;0.000
france;14;2006;397.915;0.000
france;14;2007;363.003;0.000
france;14;2008;330.235;0.000
france;14;2009;250.634;0.000
france;14;2010;314.312;0.000
france;14;2011;178.607;0.000
france;14;2012;194.667;0.000
france;14;2013;421.426;0.000
france;14;2014;374.798;0.000
france;14;2015;223.137;0.000
france;14;2016;339.951;0.000
france;14;2017;264.789;0.000
france;15;1982;323.968;0.000
france;15;1983;498.905;0.000
france;15;1984;246.328;0.000
france;15;1985;495.867;0.000
france;15;1986;599.983;0.000
france;15;1987;380.424;0.000
france;15;1988;581.454;0.000
france;15;1989;212.849;0.000
france;15;1990;202.418;0.000
france;15;1991;210.680;0.000
france;15;1992;242.914;0.000
france;15;1993;218.451;0.000
france;15;1994;427.316;0.000
france;15;1995;458.811;0.000
france;15;1996;309.587;0.000
france;15;1997;224.045;0.000
france;15;1998;282.483;0.000
france;15;1999;335.061;0.000
france;15;2000;448.450;0.000
france;15;2001;475.977;0.000
france;15;2002;200.815;0.000
france;15;2003;268.598;0.000
france;15;2004;388.196;0.000
france;15;2005;311.703;0.000
france;15;2006;338.097;0.000
france;15;2007;296.474;0.000
france;15;2008;298.363;0.000
france;15;2009;343.724;0.000
france;15;2010;326.133;0.000
france;15;2011;201.249;0.000
france;15;2012;224.578;0.000
france;15;2013;421.668;0.000
france;15;2014;386.279;0.000
france;15;2015;234.590;0.000
france;15;2016;354.227;0.000
france;15;2017;201.963;0.000
france;16;1982;313.576;0.000
france;16;1983;476.900;0.000
