zone;week;climatic_year;min_generation;max_generation
france;1;1982;na;8477.073
france;1;1983;na;8477.073
france;1;1984;na;8477.073
france;1;1985;na;8477.073
france;1;1986;na;8477.073
france;1;1987;na;8477.073
france;1;1988;na;8477.073
france;1;1989;na;8477.073
france;1;1990;na;8477.073
france;1;1991;na;8477.073
france;1;1992;na;8477.073
france;1;1993;na;8477.073
france;1;1994;na;8477.073
france;1;1995;na;8477.073
france;1;1996;na;8477.073
france;1;1997;na;8477.073
france;1;1998;na;8477.073
france;1;1999;na;8477.073
france;1;2000;na;8477.073
france;1;2001;na;8477.073
france;1;2002;na;8477.073
france;1;2003;na;8477.073
france;1;2004;na;8477.073
france;1;2005;na;8477.073
france;1;2006;na;8477.073
france;1;2007;na;8477.073
france;1;2008;na;8477.073
france;1;2009;na;8477.073
france;1;2010;na;8477.073
france;1;2011;na;8477.073
france;1;2012;na;8477.073
france;1;2013;na;8477.073
france;1;2014;na;8477.073
france;1;2015;na;8477.073
france;1;2016;na;8477.073
france;1;2017;na;8477.073
france;2;1982;na;8477.073
france;2;1983;na;8477.073
france;2;1984;na;8477.073
france;2;1985;na;8477.073
france;2;1986;na;8477.073
france;2;1987;na;8477.073
france;2;1988;na;8477.073
france;2;1989;na;8477.073
france;2;1990;na;8477.073
france;2;1991;na;8477.073
france;2;1992;na;8477.073
france;2;1993;na;8477.073
france;2;1994;na;8477.073
france;2;1995;na;8477.073
france;2;1996;na;8477.073
france;2;1997;na;8477.073
france;2;1998;na;8477.073
france;2;1999;na;8477.073
france;2;2000;na;8477.073
france;2;2001;na;8477.073
france;2;2002;na;8477.073
france;2;2003;na;8477.073
france;2;2004;na;8477.073
france;2;2005;na;8477.073
france;2;2006;na;8477.073
france;2;2007;na;8477.073
france;2;2008;na;8477.073
france;2;2009;na;8477.073
france;2;2010;na;8477.073
france;2;2011;na;8477.073
france;2;2012;na;8477.073
france;2;2013;na;8477.073
france;2;2014;na;8477.073
france;2;2015;na;8477.073
france;2;2016;na;8477.073
france;2;2017;na;8477.073
france;3;1982;na;8477.073
france;3;1983;na;8477.073
france;3;1984;na;8477.073
france;3;1985;na;8477.073
france;3;1986;na;8477.073
france;3;1987;na;8477.073
france;3;1988;na;8477.073
france;3;1989;na;8477.073
france;3;1990;na;8477.073
france;3;1991;na;8477.073
france;3;1992;na;8477.073
france;3;1993;na;8477.073
france;3;1994;na;8477.073
france;3;1995;na;8477.073
france;3;1996;na;8477.073
france;3;1997;na;8477.073
france;3;1998;na;8477.073
france;3;1999;na;8477.073
france;3;2000;na;8477.073
france;3;2001;na;8477.073
france;3;2002;na;8477.073
france;3;2003;na;8477.073
france;3;2004;na;8477.073
france;3;2005;na;8477.073
france;3;2006;na;8477.073
france;3;2007;na;8477.073
france;3;2008;na;8477.073
france;3;2009;na;8477.073
france;3;2010;na;8477.073
france;3;2011;na;8477.073
france;3;2012;na;8477.073
france;3;2013;na;8477.073
france;3;2014;na;8477.073
france;3;2015;na;8477.073
france;3;2016;na;8477.073
france;3;2017;na;8477.073
france;4;1982;na;8477.073
france;4;1983;na;8477.073
france;4;1984;na;8477.073
france;4;1985;na;8477.073
france;4;1986;na;8477.073
france;4;1987;na;8477.073
france;4;1988;na;8477.073
france;4;1989;na;8477.073
france;4;1990;na;8477.073
france;4;1991;na;8477.073
france;4;1992;na;8477.073
france;4;1993;na;8477.073
france;4;1994;na;8477.073
france;4;1995;na;8477.073
france;4;1996;na;8477.073
france;4;1997;na;8477.073
france;4;1998;na;8477.073
france;4;1999;na;8477.073
france;4;2000;na;8477.073
france;4;2001;na;8477.073
france;4;2002;na;8477.073
france;4;2003;na;8477.073
france;4;2004;na;8477.073
france;4;2005;na;8477.073
france;4;2006;na;8477.073
france;4;2007;na;8477.073
france;4;2008;na;8477.073
france;4;2009;na;8477.073
france;4;2010;na;8477.073
france;4;2011;na;8477.073
france;4;2012;na;8477.073
france;4;2013;na;8477.073
france;4;2014;na;8477.073
france;4;2015;na;8477.073
france;4;2016;na;8477.073
france;4;2017;na;8477.073
france;5;1982;na;8477.073
france;5;1983;na;8477.073
france;5;1984;na;8477.073
france;5;1985;na;8477.073
france;5;1986;na;8477.073
france;5;1987;na;8477.073
france;5;1988;na;8477.073
france;5;1989;na;8477.073
france;5;1990;na;8477.073
france;5;1991;na;8477.073
france;5;1992;na;8477.073
france;5;1993;na;8477.073
france;5;1994;na;8477.073
france;5;1995;na;8477.073
france;5;1996;na;8477.073
france;5;1997;na;8477.073
france;5;1998;na;8477.073
france;5;1999;na;8477.073
france;5;2000;na;8477.073
france;5;2001;na;8477.073
france;5;2002;na;8477.073
france;5;2003;na;8477.073
france;5;2004;na;8477.073
france;5;2005;na;8477.073
france;5;2006;na;8477.073
france;5;2007;na;8477.073
france;5;2008;na;8477.073
france;5;2009;na;8477.073
france;5;2010;na;8477.073
france;5;2011;na;8477.073
france;5;2012;na;8477.073
france;5;2013;na;8477.073
france;5;2014;na;8477.073
france;5;2015;na;8477.073
france;5;2016;na;8477.073
france;5;2017;na;8477.073
france;6;1982;na;8237.761
france;6;1983;na;8237.761
france;6;1984;na;8237.761
france;6;1985;na;8237.761
france;6;1986;na;8237.761
france;6;1987;na;8237.761
france;6;1988;na;8237.761
france;6;1989;na;8237.761
france;6;1990;na;8237.761
france;6;1991;na;8237.761
france;6;1992;na;8237.761
france;6;1993;na;8237.761
france;6;1994;na;8237.761
france;6;1995;na;8237.761
france;6;1996;na;8237.761
france;6;1997;na;8237.761
france;6;1998;na;8237.761
france;6;1999;na;8237.761
france;6;2000;na;8237.761
france;6;2001;na;8237.761
france;6;2002;na;8237.761
france;6;2003;na;8237.761
france;6;2004;na;8237.761
