climatic_year;date;value
2016;1900-01-01 00:00:00;56109
2016;1900-01-01 01:00:00;54059
2016;1900-01-01 02:00:00;51552
2016;1900-01-01 03:00:00;50101
2016;1900-01-01 04:00:00;49928
2016;1900-01-01 05:00:00;50995
2016;1900-01-01 06:00:00;51879
2016;1900-01-01 07:00:00;52857
2016;1900-01-01 08:00:00;54142
2016;1900-01-01 09:00:00;56342
2016;1900-01-01 10:00:00;58239
2016;1900-01-01 11:00:00;59881
2016;1900-01-01 12:00:00;57266
2016;1900-01-01 13:00:00;55104
2016;1900-01-01 14:00:00;54143
2016;1900-01-01 15:00:00;54223
2016;1900-01-01 16:00:00;57767
2016;1900-01-01 17:00:00;59987
2016;1900-01-01 18:00:00;60296
2016;1900-01-01 19:00:00;58097
2016;1900-01-01 20:00:00;56369
2016;1900-01-01 21:00:00;58620
2016;1900-01-01 22:00:00;58740
2016;1900-01-01 23:00:00;54274
2016;1900-01-02 00:00:00;53137
2016;1900-01-02 01:00:00;51015
2016;1900-01-02 02:00:00;49032
2016;1900-01-02 03:00:00;48508
2016;1900-01-02 04:00:00;49974
2016;1900-01-02 05:00:00;54789
2016;1900-01-02 06:00:00;58068
2016;1900-01-02 07:00:00;60418
2016;1900-01-02 08:00:00;62308
2016;1900-01-02 09:00:00;63612
2016;1900-01-02 10:00:00;65500
2016;1900-01-02 11:00:00;66375
2016;1900-01-02 12:00:00;64508
2016;1900-01-02 13:00:00;63699
2016;1900-01-02 14:00:00;62894
2016;1900-01-02 15:00:00;63452
2016;1900-01-02 16:00:00;67000
2016;1900-01-02 17:00:00;68708
2016;1900-01-02 18:00:00;66574
2016;1900-01-02 19:00:00;62603
2016;1900-01-02 20:00:00;60387
2016;1900-01-02 21:00:00;62246
2016;1900-01-02 22:00:00;61955
2016;1900-01-02 23:00:00;59401
2016;1900-01-03 00:00:00;58361
2016;1900-01-03 01:00:00;56340
2016;1900-01-03 02:00:00;54524
2016;1900-01-03 03:00:00;54132
2016;1900-01-03 04:00:00;56272
2016;1900-01-03 05:00:00;62580
2016;1900-01-03 06:00:00;67414
2016;1900-01-03 07:00:00;69242
2016;1900-01-03 08:00:00;70096
2016;1900-01-03 09:00:00;70438
2016;1900-01-03 10:00:00;71318
2016;1900-01-03 11:00:00;71470
2016;1900-01-03 12:00:00;69368
2016;1900-01-03 13:00:00;68356
2016;1900-01-03 14:00:00;67445
2016;1900-01-03 15:00:00;67606
2016;1900-01-03 16:00:00;71076
2016;1900-01-03 17:00:00;73134
2016;1900-01-03 18:00:00;71484
2016;1900-01-03 19:00:00;66842
2016;1900-01-03 20:00:00;64047
2016;1900-01-03 21:00:00;65734
2016;1900-01-03 22:00:00;65340
2016;1900-01-03 23:00:00;60637
2016;1900-01-04 00:00:00;59475
2016;1900-01-04 01:00:00;57267
2016;1900-01-04 02:00:00;55235
2016;1900-01-04 03:00:00;54625
2016;1900-01-04 04:00:00;56519
2016;1900-01-04 05:00:00;62618
2016;1900-01-04 06:00:00;67190
2016;1900-01-04 07:00:00;68940
2016;1900-01-04 08:00:00;69695
2016;1900-01-04 09:00:00;69975
2016;1900-01-04 10:00:00;70506
2016;1900-01-04 11:00:00;70493
2016;1900-01-04 12:00:00;68350
2016;1900-01-04 13:00:00;67214
2016;1900-01-04 14:00:00;66373
2016;1900-01-04 15:00:00;66848
2016;1900-01-04 16:00:00;70610
2016;1900-01-04 17:00:00;72825
2016;1900-01-04 18:00:00;70882
2016;1900-01-04 19:00:00;66302
2016;1900-01-04 20:00:00;63607
2016;1900-01-04 21:00:00;65362
2016;1900-01-04 22:00:00;65057
2016;1900-01-04 23:00:00;61775
2016;1900-01-05 00:00:00;60693
2016;1900-01-05 01:00:00;58683
2016;1900-01-05 02:00:00;56675
2016;1900-01-05 03:00:00;56019
2016;1900-01-05 04:00:00;57901
2016;1900-01-05 05:00:00;63687
2016;1900-01-05 06:00:00;68374
2016;1900-01-05 07:00:00;70004
2016;1900-01-05 08:00:00;70537
2016;1900-01-05 09:00:00;70421
2016;1900-01-05 10:00:00;70845
2016;1900-01-05 11:00:00;70678
2016;1900-01-05 12:00:00;68235
2016;1900-01-05 13:00:00;66937
2016;1900-01-05 14:00:00;65749
2016;1900-01-05 15:00:00;66059
2016;1900-01-05 16:00:00;70034
2016;1900-01-05 17:00:00;71707
2016;1900-01-05 18:00:00;69537
