climatic_year;date;value
2016;1900-01-01 00:00:00;47316
2016;1900-01-01 01:00:00;46010
2016;1900-01-01 02:00:00;45693
2016;1900-01-01 03:00:00;46008
2016;1900-01-01 04:00:00;46565
2016;1900-01-01 05:00:00;49934
2016;1900-01-01 06:00:00;54629
2016;1900-01-01 07:00:00;58160
2016;1900-01-01 08:00:00;60105
2016;1900-01-01 09:00:00;62101
2016;1900-01-01 10:00:00;64080
2016;1900-01-01 11:00:00;64149
2016;1900-01-01 12:00:00;63366
2016;1900-01-01 13:00:00;62316
2016;1900-01-01 14:00:00;62348
2016;1900-01-01 15:00:00;64497
2016;1900-01-01 16:00:00;68336
2016;1900-01-01 17:00:00;68394
2016;1900-01-01 18:00:00;67046
2016;1900-01-01 19:00:00;63723
2016;1900-01-01 20:00:00;61141
2016;1900-01-01 21:00:00;59392
2016;1900-01-01 22:00:00;55704
2016;1900-01-01 23:00:00;52648
2016;1900-01-02 00:00:00;54973
2016;1900-01-02 01:00:00;53953
2016;1900-01-02 02:00:00;54355
2016;1900-01-02 03:00:00;56403
2016;1900-01-02 04:00:00;60496
2016;1900-01-02 05:00:00;65892
2016;1900-01-02 06:00:00;70874
2016;1900-01-02 07:00:00;73724
2016;1900-01-02 08:00:00;75567
2016;1900-01-02 09:00:00;77468
2016;1900-01-02 10:00:00;79271
2016;1900-01-02 11:00:00;80290
2016;1900-01-02 12:00:00;79988
2016;1900-01-02 13:00:00;79155
2016;1900-01-02 14:00:00;78745
2016;1900-01-02 15:00:00;80045
2016;1900-01-02 16:00:00;82495
2016;1900-01-02 17:00:00;82193
2016;1900-01-02 18:00:00;80154
2016;1900-01-02 19:00:00;75769
2016;1900-01-02 20:00:00;71462
2016;1900-01-02 21:00:00;68321
2016;1900-01-02 22:00:00;63901
2016;1900-01-02 23:00:00;60402
2016;1900-01-03 00:00:00;57430
2016;1900-01-03 01:00:00;56285
2016;1900-01-03 02:00:00;56470
2016;1900-01-03 03:00:00;58259
2016;1900-01-03 04:00:00;62132
2016;1900-01-03 05:00:00;67491
2016;1900-01-03 06:00:00;72464
2016;1900-01-03 07:00:00;75227
2016;1900-01-03 08:00:00;77009
2016;1900-01-03 09:00:00;78618
2016;1900-01-03 10:00:00;80084
2016;1900-01-03 11:00:00;80774
2016;1900-01-03 12:00:00;80331
2016;1900-01-03 13:00:00;79242
2016;1900-01-03 14:00:00;78722
2016;1900-01-03 15:00:00;80296
2016;1900-01-03 16:00:00;83382
2016;1900-01-03 17:00:00;83191
2016;1900-01-03 18:00:00;81210
2016;1900-01-03 19:00:00;76888
2016;1900-01-03 20:00:00;72745
2016;1900-01-03 21:00:00;69783
2016;1900-01-03 22:00:00;65368
2016;1900-01-03 23:00:00;61989
2016;1900-01-04 00:00:00;59144
2016;1900-01-04 01:00:00;57991
2016;1900-01-04 02:00:00;58062
2016;1900-01-04 03:00:00;59580
2016;1900-01-04 04:00:00;63057
2016;1900-01-04 05:00:00;68284
2016;1900-01-04 06:00:00;73254
2016;1900-01-04 07:00:00;75956
2016;1900-01-04 08:00:00;77702
2016;1900-01-04 09:00:00;79251
2016;1900-01-04 10:00:00;80577
2016;1900-01-04 11:00:00;81230
2016;1900-01-04 12:00:00;80766
2016;1900-01-04 13:00:00;79847
2016;1900-01-04 14:00:00;79364
2016;1900-01-04 15:00:00;80569
2016;1900-01-04 16:00:00;83250
2016;1900-01-04 17:00:00;83012
2016;1900-01-04 18:00:00;81060
2016;1900-01-04 19:00:00;76666
2016;1900-01-04 20:00:00;72445
2016;1900-01-04 21:00:00;69478
2016;1900-01-04 22:00:00;64984
2016;1900-01-04 23:00:00;61436
2016;1900-01-05 00:00:00;58237
2016;1900-01-05 01:00:00;57065
2016;1900-01-05 02:00:00;57210
2016;1900-01-05 03:00:00;58817
2016;1900-01-05 04:00:00;62260
2016;1900-01-05 05:00:00;67513
2016;1900-01-05 06:00:00;72653
2016;1900-01-05 07:00:00;75460
2016;1900-01-05 08:00:00;77006
2016;1900-01-05 09:00:00;78240
2016;1900-01-05 10:00:00;79392
2016;1900-01-05 11:00:00;79382
2016;1900-01-05 12:00:00;78408
2016;1900-01-05 13:00:00;77266
2016;1900-01-05 14:00:00;76886
2016;1900-01-05 15:00:00;78301
2016;1900-01-05 16:00:00;81158
2016;1900-01-05 17:00:00;80714
2016;1900-01-05 18:00:00;78448
2016;1900-01-05 19:00:00;74019
2016;1900-01-05 20:00:00;70132
2016;1900-01-05 21:00:00;67698
2016;1900-01-05 22:00:00;63536
2016;1900-01-05 23:00:00;59846
2016;1900-01-06 00:00:00;57686
2016;1900-01-06 01:00:00;55906
2016;1900-01-06 02:00:00;54968
2016;1900-01-06 03:00:00;54361
2016;1900-01-06 04:00:00;53566
2016;1900-01-06 05:00:00;55527
2016;1900-01-06 06:00:00;60160
2016;1900-01-06 07:00:00;63957
2016;1900-01-06 08:00:00;64007
2016;1900-01-06 09:00:00;64615
2016;1900-01-06 10:00:00;66359
2016;1900-01-06 11:00:00;66181
2016;1900-01-06 12:00:00;65034
2016;1900-01-06 13:00:00;64050
2016;1900-01-06 14:00:00;64365
2016;1900-01-06 15:00:00;66460
2016;1900-01-06 16:00:00;70180
2016;1900-01-06 17:00:00;69863
2016;1900-01-06 18:00:00;67700
2016;1900-01-06 19:00:00;63790
2016;1900-01-06 20:00:00;60866
2016;1900-01-06 21:00:00;59121
2016;1900-01-06 22:00:00;55542
2016;1900-01-06 23:00:00;52271
2016;1900-01-07 00:00:00;50171
2016;1900-01-07 01:00:00;48436
2016;1900-01-07 02:00:00;47500
2016;1900-01-07 03:00:00;46629
2016;1900-01-07 04:00:00;45095
2016;1900-01-07 05:00:00;45799
2016;1900-01-07 06:00:00;49270
2016;1900-01-07 07:00:00;53402
2016;1900-01-07 08:00:00;56670
2016;1900-01-07 09:00:00;59430
2016;1900-01-07 10:00:00;61804
2016;1900-01-07 11:00:00;61789
2016;1900-01-07 12:00:00;60903
2016;1900-01-07 13:00:00;60159
2016;1900-01-07 14:00:00;61049
2016;1900-01-07 15:00:00;63770
2016;1900-01-07 16:00:00;67887
2016;1900-01-07 17:00:00;68294
2016;1900-01-07 18:00:00;67117
2016;1900-01-07 19:00:00;64187
2016;1900-01-07 20:00:00;62178
2016;1900-01-07 21:00:00;60763
2016;1900-01-07 22:00:00;57120
2016;1900-01-07 23:00:00;54140
2016;1900-01-08 00:00:00;52458
2016;1900-01-08 01:00:00;51480
2016;1900-01-08 02:00:00;52006
2016;1900-01-08 03:00:00;54341
2016;1900-01-08 04:00:00;59343
2016;1900-01-08 05:00:00;66320
2016;1900-01-08 06:00:00;72164
2016;1900-01-08 07:00:00;75052
2016;1900-01-08 08:00:00;76572
2016;1900-01-08 09:00:00;77570
2016;1900-01-08 10:00:00;78979
2016;1900-01-08 11:00:00;79310
2016;1900-01-08 12:00:00;78720
2016;1900-01-08 13:00:00;77430
2016;1900-01-08 14:00:00;76797
2016;1900-01-08 15:00:00;77938
2016;1900-01-08 16:00:00;82200
2016;1900-01-08 17:00:00;82294
2016;1900-01-08 18:00:00;80436
2016;1900-01-08 19:00:00;75788
2016;1900-01-08 20:00:00;71255
2016;1900-01-08 21:00:00;67703
2016;1900-01-08 22:00:00;63181
2016;1900-01-08 23:00:00;59773
2016;1900-01-09 00:00:00;57111
2016;1900-01-09 01:00:00;56018
2016;1900-01-09 02:00:00;56323
2016;1900-01-09 03:00:00;58224
2016;1900-01-09 04:00:00;62582
2016;1900-01-09 05:00:00;69100
2016;1900-01-09 06:00:00;74584
2016;1900-01-09 07:00:00;77122
2016;1900-01-09 08:00:00;78447
2016;1900-01-09 09:00:00;79360
2016;1900-01-09 10:00:00;80479
2016;1900-01-09 11:00:00;80693
2016;1900-01-09 12:00:00;79981
2016;1900-01-09 13:00:00;78896
2016;1900-01-09 14:00:00;78341
2016;1900-01-09 15:00:00;79455
2016;1900-01-09 16:00:00;83333
2016;1900-01-09 17:00:00;83301
2016;1900-01-09 18:00:00;81416
2016;1900-01-09 19:00:00;76782
2016;1900-01-09 20:00:00;72156
2016;1900-01-09 21:00:00;68529
2016;1900-01-09 22:00:00;63914
2016;1900-01-09 23:00:00;60268
