climatic_year;date;value
2016;1900-01-01 00:00:00;27458
2016;1900-01-01 01:00:00;25564
2016;1900-01-01 02:00:00;24224
2016;1900-01-01 03:00:00;23365
2016;1900-01-01 04:00:00;22776
2016;1900-01-01 05:00:00;22358
2016;1900-01-01 06:00:00;23090
2016;1900-01-01 07:00:00;24813
2016;1900-01-01 08:00:00;27225
2016;1900-01-01 09:00:00;29779
2016;1900-01-01 10:00:00;31359
2016;1900-01-01 11:00:00;32080
2016;1900-01-01 12:00:00;32630
2016;1900-01-01 13:00:00;32423
2016;1900-01-01 14:00:00;31493
2016;1900-01-01 15:00:00;30684
2016;1900-01-01 16:00:00;30692
2016;1900-01-01 17:00:00;32264
2016;1900-01-01 18:00:00;34282
2016;1900-01-01 19:00:00;35382
2016;1900-01-01 20:00:00;35774
2016;1900-01-01 21:00:00;34826
2016;1900-01-01 22:00:00;32564
2016;1900-01-01 23:00:00;30112
2016;1900-01-02 00:00:00;29202
2016;1900-01-02 01:00:00;27015
2016;1900-01-02 02:00:00;25604
2016;1900-01-02 03:00:00;24828
2016;1900-01-02 04:00:00;24708
2016;1900-01-02 05:00:00;25262
2016;1900-01-02 06:00:00;27333
2016;1900-01-02 07:00:00;30612
2016;1900-01-02 08:00:00;34111
2016;1900-01-02 09:00:00;36785
2016;1900-01-02 10:00:00;38124
2016;1900-01-02 11:00:00;38552
2016;1900-01-02 12:00:00;38525
2016;1900-01-02 13:00:00;37792
2016;1900-01-02 14:00:00;36597
2016;1900-01-02 15:00:00;35602
2016;1900-01-02 16:00:00;35255
2016;1900-01-02 17:00:00;36085
2016;1900-01-02 18:00:00;37894
2016;1900-01-02 19:00:00;39587
2016;1900-01-02 20:00:00;40027
2016;1900-01-02 21:00:00;38224
2016;1900-01-02 22:00:00;35087
2016;1900-01-02 23:00:00;31912
2016;1900-01-03 00:00:00;29857
2016;1900-01-03 01:00:00;28061
2016;1900-01-03 02:00:00;26864
2016;1900-01-03 03:00:00;26196
2016;1900-01-03 04:00:00;26117
2016;1900-01-03 05:00:00;26590
2016;1900-01-03 06:00:00;28414
2016;1900-01-03 07:00:00;31139
2016;1900-01-03 08:00:00;33956
2016;1900-01-03 09:00:00;36338
2016;1900-01-03 10:00:00;37818
2016;1900-01-03 11:00:00;38500
2016;1900-01-03 12:00:00;38819
2016;1900-01-03 13:00:00;38590
2016;1900-01-03 14:00:00;37883
2016;1900-01-03 15:00:00;37232
2016;1900-01-03 16:00:00;37084
2016;1900-01-03 17:00:00;38059
2016;1900-01-03 18:00:00;39424
2016;1900-01-03 19:00:00;40112
2016;1900-01-03 20:00:00;40139
2016;1900-01-03 21:00:00;38566
2016;1900-01-03 22:00:00;35858
2016;1900-01-03 23:00:00;33186
2016;1900-01-04 00:00:00;30404
2016;1900-01-04 01:00:00;28236
2016;1900-01-04 02:00:00;26852
2016;1900-01-04 03:00:00;26141
2016;1900-01-04 04:00:00;26271
2016;1900-01-04 05:00:00;27266
2016;1900-01-04 06:00:00;29789
2016;1900-01-04 07:00:00;33262
2016;1900-01-04 08:00:00;36711
2016;1900-01-04 09:00:00;39454
2016;1900-01-04 10:00:00;41085
2016;1900-01-04 11:00:00;41815
2016;1900-01-04 12:00:00;42012
2016;1900-01-04 13:00:00;41462
2016;1900-01-04 14:00:00;40467
2016;1900-01-04 15:00:00;39658
2016;1900-01-04 16:00:00;39374
2016;1900-01-04 17:00:00;40254
2016;1900-01-04 18:00:00;41773
2016;1900-01-04 19:00:00;42810
2016;1900-01-04 20:00:00;42818
2016;1900-01-04 21:00:00;40685
2016;1900-01-04 22:00:00;37299
2016;1900-01-04 23:00:00;34017
2016;1900-01-05 00:00:00;29393
2016;1900-01-05 01:00:00;27155
2016;1900-01-05 02:00:00;25696
2016;1900-01-05 03:00:00;24877
2016;1900-01-05 04:00:00;24669
2016;1900-01-05 05:00:00;25064
2016;1900-01-05 06:00:00;27006
2016;1900-01-05 07:00:00;30233
2016;1900-01-05 08:00:00;33841
2016;1900-01-05 09:00:00;36665
2016;1900-01-05 10:00:00;38085
2016;1900-01-05 11:00:00;38598
2016;1900-01-05 12:00:00;38651
2016;1900-01-05 13:00:00;37966
2016;1900-01-05 14:00:00;36824
2016;1900-01-05 15:00:00;35803
2016;1900-01-05 16:00:00;35473
2016;1900-01-05 17:00:00;36390
2016;1900-01-05 18:00:00;38176
2016;1900-01-05 19:00:00;39770
2016;1900-01-05 20:00:00;40284
2016;1900-01-05 21:00:00;38610
2016;1900-01-05 22:00:00;35523
2016;1900-01-05 23:00:00;32298
2016;1900-01-06 00:00:00;29556
2016;1900-01-06 01:00:00;27390
2016;1900-01-06 02:00:00;25842
2016;1900-01-06 03:00:00;24835
2016;1900-01-06 04:00:00;23967
2016;1900-01-06 05:00:00;23179
2016;1900-01-06 06:00:00;23706
2016;1900-01-06 07:00:00;25436
2016;1900-01-06 08:00:00;28025
2016;1900-01-06 09:00:00;30900
2016;1900-01-06 10:00:00;32672
2016;1900-01-06 11:00:00;33417
2016;1900-01-06 12:00:00;34132
2016;1900-01-06 13:00:00;34104
2016;1900-01-06 14:00:00;33098
2016;1900-01-06 15:00:00;32153
2016;1900-01-06 16:00:00;32198
2016;1900-01-06 17:00:00;34141
2016;1900-01-06 18:00:00;36568
2016;1900-01-06 19:00:00;37764
2016;1900-01-06 20:00:00;38317
2016;1900-01-06 21:00:00;37572
2016;1900-01-06 22:00:00;35192
2016;1900-01-06 23:00:00;32395
2016;1900-01-07 00:00:00;29163
2016;1900-01-07 01:00:00;26383
2016;1900-01-07 02:00:00;24651
2016;1900-01-07 03:00:00;23826
2016;1900-01-07 04:00:00;24161
2016;1900-01-07 05:00:00;25773
2016;1900-01-07 06:00:00;29011
2016;1900-01-07 07:00:00;33034
2016;1900-01-07 08:00:00;36999
2016;1900-01-07 09:00:00;40306
2016;1900-01-07 10:00:00;42306
2016;1900-01-07 11:00:00;43240
2016;1900-01-07 12:00:00;43448
2016;1900-01-07 13:00:00;42397
2016;1900-01-07 14:00:00;40825
2016;1900-01-07 15:00:00;39764
2016;1900-01-07 16:00:00;39416
2016;1900-01-07 17:00:00;40528
2016;1900-01-07 18:00:00;42570
2016;1900-01-07 19:00:00;44141
2016;1900-01-07 20:00:00;44079
2016;1900-01-07 21:00:00;41225
2016;1900-01-07 22:00:00;36955
2016;1900-01-07 23:00:00;32851
2016;1900-01-08 00:00:00;28873
2016;1900-01-08 01:00:00;27002
2016;1900-01-08 02:00:00;25907
2016;1900-01-08 03:00:00;25502
2016;1900-01-08 04:00:00;26217
2016;1900-01-08 05:00:00;28528
2016;1900-01-08 06:00:00;32604
2016;1900-01-08 07:00:00;36601
2016;1900-01-08 08:00:00;39369
2016;1900-01-08 09:00:00;41121
2016;1900-01-08 10:00:00;42049
2016;1900-01-08 11:00:00;42320
2016;1900-01-08 12:00:00;42126
2016;1900-01-08 13:00:00;41352
2016;1900-01-08 14:00:00;40484
2016;1900-01-08 15:00:00;39953
2016;1900-01-08 16:00:00;39852
2016;1900-01-08 17:00:00;40972
2016;1900-01-08 18:00:00;42928
2016;1900-01-08 19:00:00;44029
2016;1900-01-08 20:00:00;43321
2016;1900-01-08 21:00:00;40407
2016;1900-01-08 22:00:00;36673
2016;1900-01-08 23:00:00;33408
2016;1900-01-09 00:00:00;29189
2016;1900-01-09 01:00:00;27297
2016;1900-01-09 02:00:00;26202
2016;1900-01-09 03:00:00;25804
2016;1900-01-09 04:00:00;26520
2016;1900-01-09 05:00:00;28829
2016;1900-01-09 06:00:00;32904
2016;1900-01-09 07:00:00;36923
2016;1900-01-09 08:00:00;39760
2016;1900-01-09 09:00:00;41494
2016;1900-01-09 10:00:00;42327
2016;1900-01-09 11:00:00;42533
2016;1900-01-09 12:00:00;42250
2016;1900-01-09 13:00:00;41372
2016;1900-01-09 14:00:00;40466
2016;1900-01-09 15:00:00;39897
2016;1900-01-09 16:00:00;39784
2016;1900-01-09 17:00:00;40866
2016;1900-01-09 18:00:00;42865
2016;1900-01-09 19:00:00;44151
2016;1900-01-09 20:00:00;43528
2016;1900-01-09 21:00:00;40624
2016;1900-01-09 22:00:00;36908
2016;1900-01-09 23:00:00;33627
2016;1900-01-10 00:00:00;29558
2016;1900-01-10 01:00:00;27659
2016;1900-01-10 02:00:00;26556
2016;1900-01-10 03:00:00;26154
2016;1900-01-10 04:00:00;26913
2016;1900-01-10 05:00:00;29244
2016;1900-01-10 06:00:00;33259
2016;1900-01-10 07:00:00;37281
2016;1900-01-10 08:00:00;40208
2016;1900-01-10 09:00:00;42071
2016;1900-01-10 10:00:00;43072
2016;1900-01-10 11:00:00;43413
2016;1900-01-10 12:00:00;43211
2016;1900-01-10 13:00:00;42369
2016;1900-01-10 14:00:00;41479
2016;1900-01-10 15:00:00;40928
2016;1900-01-10 16:00:00;40778
2016;1900-01-10 17:00:00;41754
2016;1900-01-10 18:00:00;43522
2016;1900-01-10 19:00:00;44598
2016;1900-01-10 20:00:00;43915
2016;1900-01-10 21:00:00;40970
2016;1900-01-10 22:00:00;37226
2016;1900-01-10 23:00:00;33952
2016;1900-01-11 00:00:00;29635
2016;1900-01-11 01:00:00;27671
2016;1900-01-11 02:00:00;26530
2016;1900-01-11 03:00:00;26102
2016;1900-01-11 04:00:00;26779
2016;1900-01-11 05:00:00;29068
2016;1900-01-11 06:00:00;33159
2016;1900-01-11 07:00:00;37226
2016;1900-01-11 08:00:00;40141
2016;1900-01-11 09:00:00;41926
2016;1900-01-11 10:00:00;42757
2016;1900-01-11 11:00:00;42919
2016;1900-01-11 12:00:00;42603
2016;1900-01-11 13:00:00;41703
2016;1900-01-11 14:00:00;40758
2016;1900-01-11 15:00:00;40133
2016;1900-01-11 16:00:00;40046
2016;1900-01-11 17:00:00;41209
2016;1900-01-11 18:00:00;43393
2016;1900-01-11 19:00:00;44845
2016;1900-01-11 20:00:00;44240
2016;1900-01-11 21:00:00;41335
2016;1900-01-11 22:00:00;37549
2016;1900-01-11 23:00:00;34154
2016;1900-01-12 00:00:00;30351
2016;1900-01-12 01:00:00;28181
2016;1900-01-12 02:00:00;26938
2016;1900-01-12 03:00:00;26480
2016;1900-01-12 04:00:00;27171
2016;1900-01-12 05:00:00;29716
2016;1900-01-12 06:00:00;34354
2016;1900-01-12 07:00:00;38890
2016;1900-01-12 08:00:00;41956
2016;1900-01-12 09:00:00;43677
2016;1900-01-12 10:00:00;44281
2016;1900-01-12 11:00:00;44167
2016;1900-01-12 12:00:00;43634
2016;1900-01-12 13:00:00;42552
2016;1900-01-12 14:00:00;41407
2016;1900-01-12 15:00:00;40660
2016;1900-01-12 16:00:00;40580
2016;1900-01-12 17:00:00;41992
2016;1900-01-12 18:00:00;44753
2016;1900-01-12 19:00:00;46774
2016;1900-01-12 20:00:00;46234
2016;1900-01-12 21:00:00;43085
2016;1900-01-12 22:00:00;38922
2016;1900-01-12 23:00:00;35143
2016;1900-01-13 00:00:00;29912
2016;1900-01-13 01:00:00;27712
2016;1900-01-13 02:00:00;26255
2016;1900-01-13 03:00:00;25426
2016;1900-01-13 04:00:00;25121
2016;1900-01-13 05:00:00;25389
2016;1900-01-13 06:00:00;26969
2016;1900-01-13 07:00:00;29508
2016;1900-01-13 08:00:00;32446
2016;1900-01-13 09:00:00;35077
2016;1900-01-13 10:00:00;36492
2016;1900-01-13 11:00:00;37004
2016;1900-01-13 12:00:00;37208
2016;1900-01-13 13:00:00;36503
2016;1900-01-13 14:00:00;35214
2016;1900-01-13 15:00:00;34219
2016;1900-01-13 16:00:00;34064
2016;1900-01-13 17:00:00;35413
2016;1900-01-13 18:00:00;37660
2016;1900-01-13 19:00:00;39416
2016;1900-01-13 20:00:00;39815
2016;1900-01-13 21:00:00;38267
2016;1900-01-13 22:00:00;35385
2016;1900-01-13 23:00:00;32375
2016;1900-01-14 00:00:00;30234
2016;1900-01-14 01:00:00;27908
2016;1900-01-14 02:00:00;26285
2016;1900-01-14 03:00:00;25265
2016;1900-01-14 04:00:00;24503
2016;1900-01-14 05:00:00;23970
2016;1900-01-14 06:00:00;24889
2016;1900-01-14 07:00:00;27037
2016;1900-01-14 08:00:00;29878
2016;1900-01-14 09:00:00;32856
2016;1900-01-14 10:00:00;34662
2016;1900-01-14 11:00:00;35377
2016;1900-01-14 12:00:00;36001
2016;1900-01-14 13:00:00;35819
2016;1900-01-14 14:00:00;34648
2016;1900-01-14 15:00:00;33611
2016;1900-01-14 16:00:00;33589
2016;1900-01-14 17:00:00;35437
2016;1900-01-14 18:00:00;37898
2016;1900-01-14 19:00:00;39343
2016;1900-01-14 20:00:00;39949
2016;1900-01-14 21:00:00;38931
2016;1900-01-14 22:00:00;36207
2016;1900-01-14 23:00:00;33137
2016;1900-01-15 00:00:00;31784
2016;1900-01-15 01:00:00;29475
2016;1900-01-15 02:00:00;28150
2016;1900-01-15 03:00:00;27651
2016;1900-01-15 04:00:00;28343
2016;1900-01-15 05:00:00;30913
2016;1900-01-15 06:00:00;35592
2016;1900-01-15 07:00:00;40279
2016;1900-01-15 08:00:00;43614
2016;1900-01-15 09:00:00;45523
2016;1900-01-15 10:00:00;46201
2016;1900-01-15 11:00:00;46115
2016;1900-01-15 12:00:00;45557
2016;1900-01-15 13:00:00;44370
2016;1900-01-15 14:00:00;43120
2016;1900-01-15 15:00:00;42284
2016;1900-01-15 16:00:00;42159
2016;1900-01-15 17:00:00;43521
2016;1900-01-15 18:00:00;46335
2016;1900-01-15 19:00:00;48527
2016;1900-01-15 20:00:00;48066
2016;1900-01-15 21:00:00;44854
2016;1900-01-15 22:00:00;40537
2016;1900-01-15 23:00:00;36566
2016;1900-01-16 00:00:00;32153
2016;1900-01-16 01:00:00;29676
2016;1900-01-16 02:00:00;28268
2016;1900-01-16 03:00:00;27751
2016;1900-01-16 04:00:00;28500
2016;1900-01-16 05:00:00;31339
2016;1900-01-16 06:00:00;36482
2016;1900-01-16 07:00:00;41532
2016;1900-01-16 08:00:00;45031
2016;1900-01-16 09:00:00;46948
2016;1900-01-16 10:00:00;47522
2016;1900-01-16 11:00:00;47357
2016;1900-01-16 12:00:00;46687
2016;1900-01-16 13:00:00;45373
2016;1900-01-16 14:00:00;44028
2016;1900-01-16 15:00:00;43131
2016;1900-01-16 16:00:00;43040
2016;1900-01-16 17:00:00;44608
2016;1900-01-16 18:00:00;47769
2016;1900-01-16 19:00:00;50206
2016;1900-01-16 20:00:00;49716
2016;1900-01-16 21:00:00;46285
2016;1900-01-16 22:00:00;41660
2016;1900-01-16 23:00:00;37365
2016;1900-01-17 00:00:00;33905
2016;1900-01-17 01:00:00;31278
2016;1900-01-17 02:00:00;29782
2016;1900-01-17 03:00:00;29227
2016;1900-01-17 04:00:00;30066
2016;1900-01-17 05:00:00;33009
2016;1900-01-17 06:00:00;38246
2016;1900-01-17 07:00:00;43513
2016;1900-01-17 08:00:00;47377
2016;1900-01-17 09:00:00;49666
2016;1900-01-17 10:00:00;50562
2016;1900-01-17 11:00:00;50659
2016;1900-01-17 12:00:00;50095
2016;1900-01-17 13:00:00;48730
2016;1900-01-17 14:00:00;47344
2016;1900-01-17 15:00:00;46432
2016;1900-01-17 16:00:00;46231
2016;1900-01-17 17:00:00;47559
2016;1900-01-17 18:00:00;50301
2016;1900-01-17 19:00:00;52457
2016;1900-01-17 20:00:00;51980
2016;1900-01-17 21:00:00;48368
2016;1900-01-17 22:00:00;43538
2016;1900-01-17 23:00:00;39077
2016;1900-01-18 00:00:00;33910
