climatic_year;date;value
2016;1900-01-01 00:00:00;21357
2016;1900-01-01 01:00:00;19943
2016;1900-01-01 02:00:00;19251
2016;1900-01-01 03:00:00;19097
2016;1900-01-01 04:00:00;19327
2016;1900-01-01 05:00:00;21405
2016;1900-01-01 06:00:00;24188
2016;1900-01-01 07:00:00;26500
2016;1900-01-01 08:00:00;28972
2016;1900-01-01 09:00:00;30362
2016;1900-01-01 10:00:00;31732
2016;1900-01-01 11:00:00;30922
2016;1900-01-01 12:00:00;29010
2016;1900-01-01 13:00:00;28617
2016;1900-01-01 14:00:00;28878
2016;1900-01-01 15:00:00;30881
2016;1900-01-01 16:00:00;35241
2016;1900-01-01 17:00:00;35786
2016;1900-01-01 18:00:00;36170
2016;1900-01-01 19:00:00;35431
2016;1900-01-01 20:00:00;34027
2016;1900-01-01 21:00:00;30970
2016;1900-01-01 22:00:00;27971
2016;1900-01-01 23:00:00;25095
2016;1900-01-02 00:00:00;25580
2016;1900-01-02 01:00:00;23926
2016;1900-01-02 02:00:00;23162
2016;1900-01-02 03:00:00;23190
2016;1900-01-02 04:00:00;24502
2016;1900-01-02 05:00:00;28339
2016;1900-01-02 06:00:00;33013
2016;1900-01-02 07:00:00;36950
2016;1900-01-02 08:00:00;40035
2016;1900-01-02 09:00:00;41433
2016;1900-01-02 10:00:00;42287
2016;1900-01-02 11:00:00;41351
2016;1900-01-02 12:00:00;40170
2016;1900-01-02 13:00:00;40296
2016;1900-01-02 14:00:00;40534
2016;1900-01-02 15:00:00;41772
2016;1900-01-02 16:00:00;44642
2016;1900-01-02 17:00:00;44268
2016;1900-01-02 18:00:00;43088
2016;1900-01-02 19:00:00;40213
2016;1900-01-02 20:00:00;37605
2016;1900-01-02 21:00:00;33862
2016;1900-01-02 22:00:00;30618
2016;1900-01-02 23:00:00;27659
2016;1900-01-03 00:00:00;25427
2016;1900-01-03 01:00:00;23818
2016;1900-01-03 02:00:00;23071
2016;1900-01-03 03:00:00;23100
2016;1900-01-03 04:00:00;24419
2016;1900-01-03 05:00:00;28301
2016;1900-01-03 06:00:00;33076
2016;1900-01-03 07:00:00;37121
2016;1900-01-03 08:00:00;39918
2016;1900-01-03 09:00:00;40821
2016;1900-01-03 10:00:00;41059
2016;1900-01-03 11:00:00;39789
2016;1900-01-03 12:00:00;38570
2016;1900-01-03 13:00:00;38775
2016;1900-01-03 14:00:00;39251
2016;1900-01-03 15:00:00;40753
2016;1900-01-03 16:00:00;44313
2016;1900-01-03 17:00:00;44322
2016;1900-01-03 18:00:00;43226
2016;1900-01-03 19:00:00;40374
2016;1900-01-03 20:00:00;37942
2016;1900-01-03 21:00:00;34286
2016;1900-01-03 22:00:00;31079
2016;1900-01-03 23:00:00;28071
2016;1900-01-04 00:00:00;25907
2016;1900-01-04 01:00:00;24267
2016;1900-01-04 02:00:00;23516
2016;1900-01-04 03:00:00;23540
2016;1900-01-04 04:00:00;24760
2016;1900-01-04 05:00:00;28561
2016;1900-01-04 06:00:00;33295
2016;1900-01-04 07:00:00;37289
2016;1900-01-04 08:00:00;40347
2016;1900-01-04 09:00:00;41814
2016;1900-01-04 10:00:00;42276
2016;1900-01-04 11:00:00;41216
2016;1900-01-04 12:00:00;39692
2016;1900-01-04 13:00:00;39652
2016;1900-01-04 14:00:00;39770
2016;1900-01-04 15:00:00;40990
2016;1900-01-04 16:00:00;44214
2016;1900-01-04 17:00:00;44102
2016;1900-01-04 18:00:00;43018
2016;1900-01-04 19:00:00;40258
2016;1900-01-04 20:00:00;37799
2016;1900-01-04 21:00:00;34218
2016;1900-01-04 22:00:00;31065
2016;1900-01-04 23:00:00;28123
2016;1900-01-05 00:00:00;25963
2016;1900-01-05 01:00:00;24319
2016;1900-01-05 02:00:00;23562
2016;1900-01-05 03:00:00;23547
2016;1900-01-05 04:00:00;24745
2016;1900-01-05 05:00:00;28369
2016;1900-01-05 06:00:00;32862
2016;1900-01-05 07:00:00;36675
2016;1900-01-05 08:00:00;39508
2016;1900-01-05 09:00:00;40724
2016;1900-01-05 10:00:00;41304
2016;1900-01-05 11:00:00;40161
2016;1900-01-05 12:00:00;38625
2016;1900-01-05 13:00:00;38471
2016;1900-01-05 14:00:00;38613
2016;1900-01-05 15:00:00;39882
2016;1900-01-05 16:00:00;43285
2016;1900-01-05 17:00:00;42490
2016;1900-01-05 18:00:00;41152
2016;1900-01-05 19:00:00;38317
2016;1900-01-05 20:00:00;36092
2016;1900-01-05 21:00:00;32908
2016;1900-01-05 22:00:00;30179
2016;1900-01-05 23:00:00;27444
2016;1900-01-06 00:00:00;27452
2016;1900-01-06 01:00:00;25933
2016;1900-01-06 02:00:00;25222
2016;1900-01-06 03:00:00;24900
2016;1900-01-06 04:00:00;25339
2016;1900-01-06 05:00:00;28426
2016;1900-01-06 06:00:00;32637
2016;1900-01-06 07:00:00;35686
2016;1900-01-06 08:00:00;37979
2016;1900-01-06 09:00:00;38677
2016;1900-01-06 10:00:00;38865
2016;1900-01-06 11:00:00;36929
2016;1900-01-06 12:00:00;34752
2016;1900-01-06 13:00:00;34225
2016;1900-01-06 14:00:00;34479
2016;1900-01-06 15:00:00;35991
2016;1900-01-06 16:00:00;40080
2016;1900-01-06 17:00:00;40646
2016;1900-01-06 18:00:00;39947
2016;1900-01-06 19:00:00;37616
2016;1900-01-06 20:00:00;35563
2016;1900-01-06 21:00:00;32700
2016;1900-01-06 22:00:00;30029
