climatic_year;date;value
2016;1900-01-01 00:00:00;14805
2016;1900-01-01 01:00:00;14586
2016;1900-01-01 02:00:00;14505
2016;1900-01-01 03:00:00;15039
2016;1900-01-01 04:00:00;14312
2016;1900-01-01 05:00:00;16662
2016;1900-01-01 06:00:00;17218
2016;1900-01-01 07:00:00;18345
2016;1900-01-01 08:00:00;19454
2016;1900-01-01 09:00:00;20270
2016;1900-01-01 10:00:00;20463
2016;1900-01-01 11:00:00;20442
2016;1900-01-01 12:00:00;20406
2016;1900-01-01 13:00:00;19983
2016;1900-01-01 14:00:00;19854
2016;1900-01-01 15:00:00;20540
2016;1900-01-01 16:00:00;20397
2016;1900-01-01 17:00:00;20132
2016;1900-01-01 18:00:00;20080
2016;1900-01-01 19:00:00;19410
2016;1900-01-01 20:00:00;18302
2016;1900-01-01 21:00:00;17324
2016;1900-01-01 22:00:00;16007
2016;1900-01-01 23:00:00;17825
2016;1900-01-02 00:00:00;17332
2016;1900-01-02 01:00:00;16957
2016;1900-01-02 02:00:00;16825
2016;1900-01-02 03:00:00;17314
2016;1900-01-02 04:00:00;17939
2016;1900-01-02 05:00:00;19568
2016;1900-01-02 06:00:00;20952
2016;1900-01-02 07:00:00;21888
2016;1900-01-02 08:00:00;23059
2016;1900-01-02 09:00:00;23953
2016;1900-01-02 10:00:00;24328
2016;1900-01-02 11:00:00;24282
2016;1900-01-02 12:00:00;24182
2016;1900-01-02 13:00:00;23730
2016;1900-01-02 14:00:00;23499
2016;1900-01-02 15:00:00;23981
2016;1900-01-02 16:00:00;23852
2016;1900-01-02 17:00:00;23554
2016;1900-01-02 18:00:00;23330
2016;1900-01-02 19:00:00;22782
2016;1900-01-02 20:00:00;21728
2016;1900-01-02 21:00:00;20824
2016;1900-01-02 22:00:00;19512
2016;1900-01-02 23:00:00;18773
2016;1900-01-03 00:00:00;18292
2016;1900-01-03 01:00:00;17916
2016;1900-01-03 02:00:00;17766
2016;1900-01-03 03:00:00;18289
2016;1900-01-03 04:00:00;18877
2016;1900-01-03 05:00:00;20424
2016;1900-01-03 06:00:00;21804
2016;1900-01-03 07:00:00;22774
2016;1900-01-03 08:00:00;24032
2016;1900-01-03 09:00:00;24994
2016;1900-01-03 10:00:00;25369
2016;1900-01-03 11:00:00;25300
2016;1900-01-03 12:00:00;25170
2016;1900-01-03 13:00:00;24702
2016;1900-01-03 14:00:00;24449
2016;1900-01-03 15:00:00;24897
2016;1900-01-03 16:00:00;24764
2016;1900-01-03 17:00:00;24446
2016;1900-01-03 18:00:00;24188
2016;1900-01-03 19:00:00;23628
2016;1900-01-03 20:00:00;22566
2016;1900-01-03 21:00:00;21664
