climatic_year;date;value
2016;1900-01-01 00:00:00;49116
2016;1900-01-01 01:00:00;48488
2016;1900-01-01 02:00:00;48255
2016;1900-01-01 03:00:00;48457
2016;1900-01-01 04:00:00;49493
2016;1900-01-01 05:00:00;52079
2016;1900-01-01 06:00:00;55754
2016;1900-01-01 07:00:00;57622
2016;1900-01-01 08:00:00;56862
2016;1900-01-01 09:00:00;57391
2016;1900-01-01 10:00:00;57853
2016;1900-01-01 11:00:00;57985
2016;1900-01-01 12:00:00;58186
2016;1900-01-01 13:00:00;58890
2016;1900-01-01 14:00:00;60232
2016;1900-01-01 15:00:00;61577
2016;1900-01-01 16:00:00;62198
2016;1900-01-01 17:00:00;61534
2016;1900-01-01 18:00:00;60450
2016;1900-01-01 19:00:00;59017
2016;1900-01-01 20:00:00;57941
2016;1900-01-01 21:00:00;56059
2016;1900-01-01 22:00:00;54058
2016;1900-01-01 23:00:00;52166
2016;1900-01-02 00:00:00;52250
2016;1900-01-02 01:00:00;51663
2016;1900-01-02 02:00:00;51679
2016;1900-01-02 03:00:00;52540
2016;1900-01-02 04:00:00;54903
2016;1900-01-02 05:00:00;58842
2016;1900-01-02 06:00:00;63055
2016;1900-01-02 07:00:00;64719
2016;1900-01-02 08:00:00;64864
2016;1900-01-02 09:00:00;65418
2016;1900-01-02 10:00:00;65635
2016;1900-01-02 11:00:00;65836
2016;1900-01-02 12:00:00;66174
2016;1900-01-02 13:00:00;66885
2016;1900-01-02 14:00:00;67996
2016;1900-01-02 15:00:00;68908
2016;1900-01-02 16:00:00;69123
2016;1900-01-02 17:00:00;68380
2016;1900-01-02 18:00:00;67270
2016;1900-01-02 19:00:00;65641
2016;1900-01-02 20:00:00;64235
2016;1900-01-02 21:00:00;62127
2016;1900-01-02 22:00:00;59844
2016;1900-01-02 23:00:00;57856
2016;1900-01-03 00:00:00;56622
2016;1900-01-03 01:00:00;56041
2016;1900-01-03 02:00:00;55914
2016;1900-01-03 03:00:00;56710
2016;1900-01-03 04:00:00;59122
2016;1900-01-03 05:00:00;62913
2016;1900-01-03 06:00:00;66837
2016;1900-01-03 07:00:00;68353
2016;1900-01-03 08:00:00;68141
2016;1900-01-03 09:00:00;68309
2016;1900-01-03 10:00:00;68241
2016;1900-01-03 11:00:00;68108
2016;1900-01-03 12:00:00;68140
2016;1900-01-03 13:00:00;68627
2016;1900-01-03 14:00:00;69605
2016;1900-01-03 15:00:00;70684
2016;1900-01-03 16:00:00;71020
2016;1900-01-03 17:00:00;70299
2016;1900-01-03 18:00:00;69100
2016;1900-01-03 19:00:00;67414
2016;1900-01-03 20:00:00;66001
2016;1900-01-03 21:00:00;63930
2016;1900-01-03 22:00:00;61867
2016;1900-01-03 23:00:00;59905
2016;1900-01-04 00:00:00;58693
2016;1900-01-04 01:00:00;58233
2016;1900-01-04 02:00:00;58275
2016;1900-01-04 03:00:00;59172
2016;1900-01-04 04:00:00;61586
2016;1900-01-04 05:00:00;65342
2016;1900-01-04 06:00:00;69305
2016;1900-01-04 07:00:00;71056
2016;1900-01-04 08:00:00;70569
2016;1900-01-04 09:00:00;70728
2016;1900-01-04 10:00:00;70311
2016;1900-01-04 11:00:00;69078
2016;1900-01-04 12:00:00;68918
2016;1900-01-04 13:00:00;69173
