climatic_year;date;value
2016;1900-01-01 00:00:00;34092
2016;1900-01-01 01:00:00;33573
2016;1900-01-01 02:00:00;32544
2016;1900-01-01 03:00:00;31668
2016;1900-01-01 04:00:00;31437
2016;1900-01-01 05:00:00;31549
2016;1900-01-01 06:00:00;31813
2016;1900-01-01 07:00:00;33143
2016;1900-01-01 08:00:00;34975
2016;1900-01-01 09:00:00;36366
2016;1900-01-01 10:00:00;37109
2016;1900-01-01 11:00:00;36875
2016;1900-01-01 12:00:00;36940
2016;1900-01-01 13:00:00;37396
2016;1900-01-01 14:00:00;37308
2016;1900-01-01 15:00:00;38629
2016;1900-01-01 16:00:00;39422
2016;1900-01-01 17:00:00;42003
2016;1900-01-01 18:00:00;42873
2016;1900-01-01 19:00:00;42191
2016;1900-01-01 20:00:00;40617
2016;1900-01-01 21:00:00;39469
2016;1900-01-01 22:00:00;37965
2016;1900-01-01 23:00:00;39047
2016;1900-01-02 00:00:00;37593
2016;1900-01-02 01:00:00;36572
2016;1900-01-02 02:00:00;35626
2016;1900-01-02 03:00:00;35076
2016;1900-01-02 04:00:00;35023
2016;1900-01-02 05:00:00;35023
2016;1900-01-02 06:00:00;36876
2016;1900-01-02 07:00:00;37597
2016;1900-01-02 08:00:00;41281
2016;1900-01-02 09:00:00;42511
2016;1900-01-02 10:00:00;42507
2016;1900-01-02 11:00:00;42591
2016;1900-01-02 12:00:00;42384
2016;1900-01-02 13:00:00;42042
2016;1900-01-02 14:00:00;42607
2016;1900-01-02 15:00:00;42375
2016;1900-01-02 16:00:00;42626
2016;1900-01-02 17:00:00;43344
2016;1900-01-02 18:00:00;43488
2016;1900-01-02 19:00:00;42669
2016;1900-01-02 20:00:00;40815
2016;1900-01-02 21:00:00;39281
2016;1900-01-02 22:00:00;37609
2016;1900-01-02 23:00:00;38868
2016;1900-01-03 00:00:00;37771
2016;1900-01-03 01:00:00;36805
2016;1900-01-03 02:00:00;35819
2016;1900-01-03 03:00:00;35248
2016;1900-01-03 04:00:00;35361
2016;1900-01-03 05:00:00;35673
2016;1900-01-03 06:00:00;37478
2016;1900-01-03 07:00:00;38104
2016;1900-01-03 08:00:00;41890
2016;1900-01-03 09:00:00;42815
2016;1900-01-03 10:00:00;43124
2016;1900-01-03 11:00:00;42855
2016;1900-01-03 12:00:00;42997
2016;1900-01-03 13:00:00;43566
2016;1900-01-03 14:00:00;43518
2016;1900-01-03 15:00:00;43444
2016;1900-01-03 16:00:00;43683
2016;1900-01-03 17:00:00;44276
