zone;production_type;power_capacity;power_capacity_turbine;power_capacity_pumping;power_capacity_injection;power_capacity_offtake;energy_capacity
germany;Batteries;0.00;0.00;0.00;2188.91;2188.91;4377.82
germany;Biofuel;0.00;0.00;0.00;0.00;0.00;0.00
germany;Demand Side Response capacity;945.56;0.00;0.00;0.00;0.00;0.00
germany;Gas ;32541.30;0.00;0.00;0.00;0.00;0.00
germany;Hard Coal;12786.24;0.00;0.00;0.00;0.00;0.00
germany;Hydro - Pondage;0.00;0.00;0.00;0.00;0.00;0.00
germany;Hydro - Pump Storage Closed Loop;0.00;6409.84;-6561.60;0.00;0.00;391579.78
germany;Hydro - Pump Storage Open Loop;0.00;2144.10;-1861.00;0.00;0.00;471229.00
germany;Hydro - Reservoir;0.00;819.00;0.00;0.00;0.00;237217.03
germany;Hydro - Run of River;0.00;3933.90;0.00;0.00;0.00;0.00
germany;Lignite;14687.00;0.00;0.00;0.00;0.00;0.00
germany;Nuclear;0.00;0.00;0.00;0.00;0.00;0.00
germany;Oil;2821.33;0.00;0.00;0.00;0.00;0.00
germany;Others non-renewable;9080.02;0.00;0.00;0.00;0.00;0.00
germany;Others renewable;11056.79;0.00;0.00;0.00;0.00;0.00
germany;Solar (Photovoltaic);88447.85;0.00;0.00;0.00;0.00;0.00
germany;Solar (Thermal);0.00;0.00;0.00;0.00;0.00;0.00
germany;Wind Offshore;11105.00;0.00;0.00;0.00;0.00;0.00
germany;Wind Onshore;69017.40;0.00;0.00;0.00;0.00;0.00
