climatic_year;date;value
2016;1900-01-01 00:00:00;0.020
2016;1900-01-01 01:00:00;0.018
2016;1900-01-01 02:00:00;0.016
2016;1900-01-01 03:00:00;0.016
2016;1900-01-01 04:00:00;0.015
2016;1900-01-01 05:00:00;0.015
2016;1900-01-01 06:00:00;0.015
2016;1900-01-01 07:00:00;0.015
2016;1900-01-01 08:00:00;0.016
2016;1900-01-01 09:00:00;0.015
2016;1900-01-01 10:00:00;0.009
2016;1900-01-01 11:00:00;0.006
2016;1900-01-01 12:00:00;0.006
2016;1900-01-01 13:00:00;0.008
2016;1900-01-01 14:00:00;0.010
2016;1900-01-01 15:00:00;0.010
2016;1900-01-01 16:00:00;0.013
2016;1900-01-01 17:00:00;0.013
2016;1900-01-01 18:00:00;0.013
2016;1900-01-01 19:00:00;0.015
2016;1900-01-01 20:00:00;0.017
2016;1900-01-01 21:00:00;0.021
2016;1900-01-01 22:00:00;0.031
2016;1900-01-01 23:00:00;0.041
2016;1900-01-02 00:00:00;0.049
2016;1900-01-02 01:00:00;0.060
2016;1900-01-02 02:00:00;0.073
2016;1900-01-02 03:00:00;0.091
2016;1900-01-02 04:00:00;0.112
2016;1900-01-02 05:00:00;0.124
2016;1900-01-02 06:00:00;0.140
2016;1900-01-02 07:00:00;0.167
2016;1900-01-02 08:00:00;0.199
2016;1900-01-02 09:00:00;0.216
2016;1900-01-02 10:00:00;0.240
2016;1900-01-02 11:00:00;0.294
2016;1900-01-02 12:00:00;0.346
2016;1900-01-02 13:00:00;0.376
2016;1900-01-02 14:00:00;0.370
2016;1900-01-02 15:00:00;0.373
2016;1900-01-02 16:00:00;0.373
2016;1900-01-02 17:00:00;0.398
2016;1900-01-02 18:00:00;0.442
2016;1900-01-02 19:00:00;0.452
2016;1900-01-02 20:00:00;0.480
2016;1900-01-02 21:00:00;0.515
2016;1900-01-02 22:00:00;0.531
2016;1900-01-02 23:00:00;0.551
2016;1900-01-03 00:00:00;0.563
2016;1900-01-03 01:00:00;0.568
2016;1900-01-03 02:00:00;0.554
2016;1900-01-03 03:00:00;0.552
2016;1900-01-03 04:00:00;0.528
2016;1900-01-03 05:00:00;0.509
2016;1900-01-03 06:00:00;0.512
2016;1900-01-03 07:00:00;0.525
